Segment,Region,Sub-Category,Group,Period,Sales (USD),Profit (USD),Discount,Quantity
Consumer,West,Copiers,High-Value,Jan 2022,173,28,5,62
Consumer,Central,Fasteners,Low-Value,Jul 2022,71,2,0,61
Home Office,East,Other Miscellaneous 2,Low-Value,Jul 2021,7,2,0,60
Corporate,West,Employees (Office Supplies),Low-Value,Jan 2020,53,2,5,60
Consumer,West,Business Machines,High-Value,Jan 2022,171,24,0,61
Corporate,South,Furnishings,High-Value,Jul 2020,92,11,5,61
Consumer,West,Other Miscellaneous 6,Low-Value,Jul 2021,1,1,0,64
Consumer,East,Other Miscellaneous 6,Low-Value,Jan 2022,27,1,0,57
Corporate,Central,Accessories,High-Value,Jul 2022,138,23,0,60
Consumer,West,Employees (Office Supplies),Low-Value,Jul 2022,31,4,0,60
Consumer,South,Accessories,High-Value,Jan 2020,149,19,10,61
Home Office,South,Fasteners,Low-Value,Jan 2022,35,3,5,59
Home Office,South,Accessories,High-Value,Jul 2021,128,10,0,61
Consumer,West,Other Miscellaneous 4,Low-Value,Jan 2022,34,1,0,61
Consumer,West,Employees (Office Supplies),Low-Value,Jan 2022,70,4,0,63
Corporate,East,Furnishings,High-Value,Jan 2022,85,5,5,63
Home Office,West,Other Miscellaneous 1,Low-Value,Jul 2022,52,7,10,64
Home Office,West,Other Miscellaneous 4,Low-Value,Jul 2021,1,3,0,57
Home Office,East,Other Miscellaneous 5,Low-Value,Jul 2021,1,1,0,56
Consumer,South,Accessories,High-Value,Jul 2022,144,16,0,60
Consumer,East,Employees (Office Supplies),Low-Value,Jan 2020,73,8,0,61
Corporate,East,Other Miscellaneous 3,Low-Value,Jul 2022,24,1,10,57
Corporate,South,Supplies,Mid-Value,Jan 2022,146,30,0,60
Corporate,West,Other Miscellaneous 4,Low-Value,Jan 2022,14,1,0,60
Corporate,East,Appliances,High-Value,Jul 2021,98,5,5,57
Home Office,West,Furnishings,High-Value,Jul 2020,95,13,0,62
Home Office,East,Other Miscellaneous 2,Low-Value,Jan 2022,62,9,0,59
Corporate,East,Furnishings,High-Value,Jan 2022,57,10,0,61
Consumer,East,Other Miscellaneous 3,Low-Value,Jul 2021,7,1,0,57
Consumer,East,Bookcases,High-Value,Jul 2021,87,14,0,62
Consumer,Central,Paper,Mid-Value,Jan 2022,99,13,0,60
Consumer,West,Furnishings,High-Value,Jan 2022,94,3,0,62
Home Office,Central,Fasteners,Low-Value,Jan 2022,33,8,0,59
Home Office,West,Other Miscellaneous 2,Low-Value,Jan 2021,27,1,0,64
Consumer,West,Paper,Mid-Value,Jan 2022,90,7,0,58
Consumer,East,Appliances,High-Value,Jan 2022,117,12,5,61
Corporate,East,Business Machines,High-Value,Jul 2021,173,26,0,60
Home Office,South,Copiers,High-Value,Jan 2022,151,20,0,62
Consumer,South,Other Miscellaneous 5,Low-Value,Jul 2021,16,1,0,59
Consumer,Central,Other Miscellaneous 4,Low-Value,Jul 2022,11,1,0,62
Home Office,East,Art,Low-Value,Jan 2021,66,6,0,60
Consumer,West,Fasteners,Low-Value,Jul 2021,50,1,0,57
Consumer,Central,Copiers,High-Value,Jul 2021,146,8,0,63
Corporate,South,Other Miscellaneous 4,Low-Value,Jul 2021,1,1,0,63
Consumer,West,Fasteners,Low-Value,Jan 2020,33,1,0,63
Consumer,South,Business Machines,High-Value,Jan 2022,181,18,0,67
Corporate,South,Paper,Mid-Value,Jan 2021,119,1,0,64
Corporate,East,Other Miscellaneous 1,Low-Value,Jan 2021,42,10,0,59
Home Office,South,Other Miscellaneous 1,Low-Value,Jan 2022,21,1,0,62
Corporate,East,Other Miscellaneous 5,Low-Value,Jan 2021,1,1,0,59
Consumer,Central,Other Miscellaneous 3,Low-Value,Jan 2020,18,5,5,62
Corporate,East,Other Miscellaneous 3,Low-Value,Jul 2021,22,9,0,62
Consumer,Central,Other Miscellaneous 3,Low-Value,Jan 2022,19,3,10,57
Home Office,East,Supplies,Mid-Value,Jul 2022,107,18,5,58
Consumer,Central,Business Machines,High-Value,Jul 2020,164,18,0,62
Consumer,West,Labels,Low-Value,Jul 2021,58,9,0,61
Consumer,Central,Other Miscellaneous 4,Low-Value,Jul 2020,14,1,0,60
Consumer,Central,Appliances,High-Value,Jul 2020,116,9,10,62
Home Office,South,Other Miscellaneous 4,Low-Value,Jan 2020,29,1,0,62
Corporate,East,Paper,Mid-Value,Jan 2022,85,4,0,61
Corporate,East,Business Machines,High-Value,Jul 2022,186,21,0,63
Corporate,Central,Business Machines,High-Value,Jan 2022,187,16,0,61
Consumer,East,Appliances,High-Value,Jul 2022,121,23,0,60
Corporate,West,Other Miscellaneous 6,Low-Value,Jul 2020,8,1,0,66
Consumer,West,Fasteners,Low-Value,Jul 2020,56,4,0,62
Consumer,East,Bookcases,High-Value,Jul 2022,102,9,0,61
Corporate,Central,Other Miscellaneous 4,Low-Value,Jan 2022,15,1,10,60
Corporate,South,Appliances,High-Value,Jul 2020,145,21,0,63
Home Office,West,Supplies,Mid-Value,Jul 2022,132,14,0,61
Consumer,West,Paper,Mid-Value,Jan 2021,90,3,0,61
Consumer,West,Fasteners,Low-Value,Jan 2021,46,1,0,62
Corporate,East,Employees (Office Supplies),Low-Value,Jan 2021,24,1,0,62
Corporate,West,Bookcases,High-Value,Jul 2021,100,13,0,62
Consumer,East,Other Miscellaneous 4,Low-Value,Jan 2021,11,18,0,64
Home Office,West,Fasteners,Low-Value,Jul 2021,40,6,0,61
Home Office,West,Fasteners,Low-Value,Jan 2020,22,2,5,64
Home Office,Central,Paper,Mid-Value,Jan 2020,36,5,0,66
Home Office,West,Other Miscellaneous 3,Low-Value,Jan 2022,12,1,0,62
Corporate,Central,Bookcases,High-Value,Jul 2022,79,5,0,61
Consumer,West,Supplies,Mid-Value,Jul 2022,106,20,0,58
Consumer,Central,Business Machines,High-Value,Jan 2020,173,16,0,62
Consumer,East,Other Miscellaneous 2,Low-Value,Jul 2020,63,9,0,62
Consumer,West,Labels,Low-Value,Jan 2021,1,1,0,62
Corporate,South,Other Miscellaneous 5,Low-Value,Jul 2022,2,2,5,62
Consumer,Central,Other Miscellaneous 4,Low-Value,Jan 2021,31,2,0,65
Consumer,West,Fasteners,Low-Value,Jan 2022,40,8,0,64
Corporate,East,Copiers,High-Value,Jul 2022,156,21,0,63
Home Office,East,Paper,Mid-Value,Jul 2022,52,7,0,60
Corporate,West,Other Miscellaneous 6,Low-Value,Jan 2021,24,2,0,60
Consumer,West,Other Miscellaneous 1,Low-Value,Jan 2021,70,1,0,61
Consumer,Central,Employees (Office Supplies),Low-Value,Jan 2021,12,1,0,57
Home Office,East,Furnishings,High-Value,Jul 2020,85,7,0,59
Consumer,Central,Other Miscellaneous 5,Low-Value,Jan 2022,1,6,0,60
Corporate,West,Furnishings,High-Value,Jan 2021,93,9,5,63
Corporate,Central,Accessories,High-Value,Jan 2021,160,16,0,61
Consumer,East,Furnishings,High-Value,Jan 2021,142,24,0,60
Consumer,South,Other Miscellaneous 3,Low-Value,Jul 2022,1,3,0,62
Corporate,East,Other Miscellaneous 6,Low-Value,Jul 2021,1,2,5,57
Corporate,West,Paper,Mid-Value,Jul 2022,79,8,5,61
Home Office,South,Other Miscellaneous 5,Low-Value,Jan 2022,24,9,0,61
Consumer,West,Other Miscellaneous 2,Low-Value,Jul 2022,15,3,0,60
Consumer,West,Paper,Mid-Value,Jul 2021,108,8,10,62
Consumer,East,Other Miscellaneous 3,Low-Value,Jul 2022,34,5,0,62
Corporate,South,Other Miscellaneous 2,Low-Value,Jan 2021,27,3,0,61
Consumer,West,Appliances,High-Value,Jan 2022,130,13,5,58
Corporate,West,Appliances,High-Value,Jul 2022,83,4,0,60
Corporate,South,Fasteners,Low-Value,Jan 2022,43,10,0,61
Consumer,West,Fasteners,Low-Value,Jan 2020,30,2,0,58
Home Office,West,Other Miscellaneous 1,Low-Value,Jan 2020,60,7,0,61
Home Office,South,Other Miscellaneous 3,Low-Value,Jul 2022,1,1,0,63
Corporate,East,Fasteners,Low-Value,Jul 2021,75,11,0,64
Consumer,East,Other Miscellaneous 6,Low-Value,Jul 2022,25,1,5,62
Consumer,East,Fasteners,Low-Value,Jul 2021,27,4,0,64
Corporate,West,Supplies,Mid-Value,Jul 2022,136,17,0,60
Consumer,West,Other Miscellaneous 5,Low-Value,Jul 2022,22,1,0,62
Consumer,Central,Furnishings,High-Value,Jul 2022,150,15,0,62
Consumer,Central,Copiers,High-Value,Jul 2022,172,29,0,60
Consumer,West,Business Machines,High-Value,Jan 2021,224,32,5,65
Consumer,East,Other Miscellaneous 5,Low-Value,Jan 2022,1,1,0,61
Corporate,Central,Employees (Office Supplies),Low-Value,Jan 2020,64,17,0,57
Consumer,East,Furnishings,High-Value,Jan 2021,126,12,0,62
Consumer,South,Fasteners,Low-Value,Jul 2021,80,13,0,60
Home Office,South,Accessories,High-Value,Jul 2021,141,10,5,59
Home Office,South,Copiers,High-Value,Jan 2020,162,22,10,60
Home Office,West,Appliances,High-Value,Jul 2022,103,11,10,61
Home Office,West,Paper,Mid-Value,Jan 2020,113,12,5,60
Corporate,East,Business Machines,High-Value,Jan 2022,191,16,0,60
Consumer,Central,Fasteners,Low-Value,Jul 2021,27,1,0,60
Consumer,East,Accessories,High-Value,Jul 2020,154,7,0,61
Consumer,East,Art,Low-Value,Jan 2022,83,8,0,62
Consumer,South,Labels,Low-Value,Jan 2021,44,7,0,63
Consumer,West,Other Miscellaneous 6,Low-Value,Jan 2022,1,11,5,60
Consumer,West,Fasteners,Low-Value,Jul 2021,46,8,0,60
Home Office,East,Other Miscellaneous 5,Low-Value,Jul 2020,19,7,0,59
Corporate,East,Employees (Office Supplies),Low-Value,Jan 2021,34,6,0,62
Consumer,West,Furnishings,High-Value,Jan 2022,106,14,0,62
Consumer,East,Other Miscellaneous 1,Low-Value,Jan 2021,41,2,0,59
Consumer,South,Other Miscellaneous 6,Low-Value,Jan 2021,1,1,0,63
Consumer,West,Supplies,Mid-Value,Jul 2022,59,1,0,63
Corporate,South,Other Miscellaneous 5,Low-Value,Jan 2022,21,1,0,63
Consumer,South,Other Miscellaneous 1,Low-Value,Jul 2022,5,1,0,61
Consumer,West,Bookcases,High-Value,Jul 2020,117,24,10,59
Consumer,Central,Business Machines,High-Value,Jan 2021,173,16,0,58
Consumer,Central,Accessories,High-Value,Jul 2021,175,19,5,59
Corporate,Central,Labels,Low-Value,Jan 2022,51,2,0,57
Home Office,East,Business Machines,High-Value,Jul 2022,214,30,0,60
Corporate,West,Business Machines,High-Value,Jul 2020,169,26,0,61
Home Office,South,Other Miscellaneous 4,Low-Value,Jul 2021,5,7,0,59
Home Office,Central,Employees (Office Supplies),Low-Value,Jan 2020,66,4,0,61
Consumer,West,Fasteners,Low-Value,Jul 2020,34,1,10,57
Corporate,South,Paper,Mid-Value,Jul 2021,108,17,0,60
Consumer,West,Other Miscellaneous 3,Low-Value,Jul 2022,38,10,0,57
Corporate,East,Art,Low-Value,Jan 2022,85,8,0,63
Consumer,Central,Other Miscellaneous 1,Low-Value,Jul 2021,12,4,0,58
Corporate,West,Employees (Office Supplies),Low-Value,Jul 2022,70,1,0,63
Corporate,Central,Business Machines,High-Value,Jan 2020,152,27,5,57
Consumer,East,Other Miscellaneous 6,Low-Value,Jan 2020,25,6,0,61
Home Office,East,Fasteners,Low-Value,Jul 2022,50,1,10,59
Consumer,South,Other Miscellaneous 6,Low-Value,Jul 2022,12,1,0,60
Corporate,West,Labels,Low-Value,Jul 2022,33,11,0,62
Consumer,Central,Other Miscellaneous 4,Low-Value,Jan 2021,1,2,0,61
Corporate,West,Other Miscellaneous 2,Low-Value,Jul 2022,23,4,0,60
Home Office,Central,Other Miscellaneous 3,Low-Value,Jul 2020,56,1,0,60
Consumer,West,Other Miscellaneous 4,Low-Value,Jul 2020,1,1,0,59
Corporate,South,Employees (Office Supplies),Low-Value,Jan 2021,45,10,0,59
Consumer,East,Labels,Low-Value,Jul 2020,126,16,10,63
Home Office,West,Art,Low-Value,Jan 2020,93,13,0,63
Corporate,East,Art,Low-Value,Jul 2022,66,1,0,56
Consumer,Central,Copiers,High-Value,Jan 2021,157,24,0,60
Consumer,East,Other Miscellaneous 2,Low-Value,Jan 2021,16,2,0,60
Home Office,East,Paper,Mid-Value,Jul 2020,85,13,5,60
Home Office,West,Appliances,High-Value,Jan 2021,141,15,0,62
Home Office,South,Paper,Mid-Value,Jul 2020,101,12,0,59
Home Office,East,Furnishings,High-Value,Jul 2022,134,18,0,60
Corporate,Central,Art,Low-Value,Jan 2021,105,13,10,62
Consumer,East,Copiers,High-Value,Jul 2021,142,16,0,62
Consumer,East,Employees (Office Supplies),Low-Value,Jul 2022,71,1,0,61
Consumer,West,Business Machines,High-Value,Jul 2022,158,15,0,59
Consumer,West,Business Machines,High-Value,Jan 2021,214,16,0,63
Consumer,East,Other Miscellaneous 1,Low-Value,Jan 2022,26,3,0,58
Corporate,Central,Other Miscellaneous 3,Low-Value,Jul 2021,4,1,0,60
Home Office,West,Appliances,High-Value,Jul 2020,97,13,0,58
Home Office,East,Appliances,High-Value,Jul 2021,127,11,5,60
Home Office,East,Labels,Low-Value,Jul 2020,67,5,0,62
Home Office,East,Business Machines,High-Value,Jul 2022,158,21,0,58
Consumer,Central,Bookcases,High-Value,Jan 2022,131,19,0,59
Consumer,East,Fasteners,Low-Value,Jan 2022,51,3,0,63
Home Office,Central,Fasteners,Low-Value,Jul 2022,43,14,0,58
Corporate,East,Art,Low-Value,Jan 2021,66,7,0,62
Corporate,West,Other Miscellaneous 1,Low-Value,Jul 2022,61,19,0,62
Consumer,West,Accessories,High-Value,Jul 2020,160,15,0,63
Corporate,East,Business Machines,High-Value,Jan 2021,202,18,0,63
Corporate,East,Supplies,Mid-Value,Jan 2021,131,15,0,59
Home Office,Central,Art,Low-Value,Jul 2022,75,13,10,63
Home Office,East,Other Miscellaneous 5,Low-Value,Jul 2021,1,5,0,59
Consumer,East,Art,Low-Value,Jan 2020,63,9,0,62
Home Office,West,Other Miscellaneous 2,Low-Value,Jul 2021,23,6,0,63
Consumer,West,Labels,Low-Value,Jan 2022,66,3,5,63
Home Office,South,Other Miscellaneous 3,Low-Value,Jan 2020,20,9,0,60
Consumer,East,Supplies,Mid-Value,Jan 2021,106,9,10,62
Home Office,East,Furnishings,High-Value,Jul 2020,123,18,0,60
Consumer,West,Other Miscellaneous 5,Low-Value,Jul 2020,1,1,0,59
Consumer,South,Art,Low-Value,Jul 2022,96,7,5,60
Consumer,East,Art,Low-Value,Jul 2022,51,14,0,63
Consumer,Central,Paper,Mid-Value,Jan 2022,90,9,0,62
Home Office,West,Other Miscellaneous 2,Low-Value,Jul 2022,1,3,0,60
Corporate,East,Business Machines,High-Value,Jul 2021,156,18,0,61
Consumer,West,Other Miscellaneous 3,Low-Value,Jan 2021,1,1,0,61
Corporate,East,Copiers,High-Value,Jan 2020,176,31,0,61
Corporate,West,Other Miscellaneous 6,Low-Value,Jan 2021,20,1,0,60
Home Office,East,Fasteners,Low-Value,Jul 2021,21,10,0,61
Corporate,West,Supplies,Mid-Value,Jul 2021,124,18,10,59
Consumer,Central,Appliances,High-Value,Jan 2021,72,3,0,59
Consumer,Central,Business Machines,High-Value,Jul 2021,218,19,0,64
Corporate,West,Other Miscellaneous 4,Low-Value,Jan 2022,1,1,0,60
Corporate,East,Art,Low-Value,Jul 2022,77,5,0,61
Corporate,West,Art,Low-Value,Jul 2020,58,12,5,54
Consumer,South,Employees (Office Supplies),Low-Value,Jan 2020,92,12,0,59
Corporate,Central,Labels,Low-Value,Jul 2021,57,1,0,59
Consumer,Central,Business Machines,High-Value,Jan 2022,192,17,5,59
Corporate,West,Furnishings,High-Value,Jul 2022,97,8,0,64
Home Office,East,Art,Low-Value,Jul 2022,81,10,0,60
Corporate,South,Other Miscellaneous 4,Low-Value,Jul 2022,1,1,0,58
Corporate,East,Other Miscellaneous 4,Low-Value,Jul 2021,1,10,0,59
Corporate,West,Other Miscellaneous 3,Low-Value,Jan 2021,1,1,0,60
Home Office,South,Other Miscellaneous 2,Low-Value,Jan 2022,24,6,0,59
Corporate,Central,Paper,Mid-Value,Jul 2020,41,1,0,58
Home Office,East,Business Machines,High-Value,Jul 2021,140,22,0,61
Consumer,West,Labels,Low-Value,Jul 2022,59,1,0,59
Corporate,East,Other Miscellaneous 3,Low-Value,Jan 2021,1,1,0,59
Consumer,West,Labels,Low-Value,Jan 2022,66,5,5,60
Consumer,South,Furnishings,High-Value,Jul 2022,84,8,0,59
Corporate,South,Appliances,High-Value,Jul 2022,97,9,0,63
Home Office,West,Bookcases,High-Value,Jul 2022,121,15,5,63
Consumer,Central,Other Miscellaneous 1,Low-Value,Jul 2021,52,7,0,59
Consumer,West,Other Miscellaneous 2,Low-Value,Jan 2022,71,9,0,60
Consumer,East,Labels,Low-Value,Jan 2021,35,4,0,62
Corporate,West,Other Miscellaneous 6,Low-Value,Jul 2020,17,9,0,60
Corporate,East,Paper,Mid-Value,Jul 2022,61,2,0,61
Home Office,East,Labels,Low-Value,Jan 2022,26,3,0,62
Corporate,East,Copiers,High-Value,Jan 2020,141,17,5,60
Consumer,West,Other Miscellaneous 3,Low-Value,Jan 2020,1,6,0,61
Corporate,Central,Paper,Mid-Value,Jan 2022,117,20,0,59
Corporate,West,Appliances,High-Value,Jan 2020,68,9,0,59
Home Office,Central,Labels,Low-Value,Jul 2020,44,9,0,59
Consumer,East,Supplies,Mid-Value,Jul 2020,131,17,0,65
Consumer,Central,Other Miscellaneous 5,Low-Value,Jul 2020,26,1,0,62
Home Office,East,Art,Low-Value,Jul 2021,46,3,0,61
Home Office,West,Other Miscellaneous 1,Low-Value,Jan 2022,61,6,0,62
Consumer,East,Labels,Low-Value,Jan 2022,18,1,0,65
Consumer,South,Other Miscellaneous 3,Low-Value,Jan 2022,3,2,0,59
Corporate,South,Other Miscellaneous 6,Low-Value,Jul 2021,1,1,0,62
Corporate,West,Copiers,High-Value,Jul 2021,159,19,0,62
Consumer,East,Labels,Low-Value,Jul 2022,71,5,0,64
Home Office,West,Art,Low-Value,Jan 2021,47,6,0,62
Consumer,East,Other Miscellaneous 6,Low-Value,Jul 2021,11,5,10,59
Consumer,West,Bookcases,High-Value,Jan 2020,76,20,0,59
Corporate,West,Supplies,Mid-Value,Jan 2020,70,5,0,60
Home Office,East,Bookcases,High-Value,Jan 2022,123,18,0,63
Consumer,South,Art,Low-Value,Jan 2022,54,3,0,64
Consumer,East,Other Miscellaneous 1,Low-Value,Jan 2021,39,12,0,59
Corporate,Central,Art,Low-Value,Jul 2021,66,1,0,59
Home Office,East,Other Miscellaneous 5,Low-Value,Jan 2022,14,1,0,61
Corporate,West,Business Machines,High-Value,Jul 2022,194,22,0,62
Corporate,Central,Paper,Mid-Value,Jan 2020,92,5,10,57
Home Office,East,Labels,Low-Value,Jul 2021,56,2,0,58
Consumer,West,Other Miscellaneous 1,Low-Value,Jan 2022,2,2,0,66
Consumer,West,Labels,Low-Value,Jan 2021,22,1,0,63
Corporate,East,Art,Low-Value,Jan 2022,57,3,10,62
Consumer,Central,Employees (Office Supplies),Low-Value,Jul 2022,88,12,0,62
Home Office,West,Labels,Low-Value,Jan 2022,51,16,5,64
Corporate,West,Appliances,High-Value,Jan 2021,65,1,0,59
Consumer,West,Fasteners,Low-Value,Jan 2020,54,4,0,62
Corporate,Central,Fasteners,Low-Value,Jan 2022,43,13,10,62
Consumer,East,Supplies,Mid-Value,Jul 2020,123,13,0,60
Consumer,South,Other Miscellaneous 6,Low-Value,Jan 2020,1,1,10,59
Consumer,East,Accessories,High-Value,Jan 2021,168,33,0,63
Corporate,Central,Other Miscellaneous 1,Low-Value,Jan 2020,45,4,5,59
Consumer,West,Supplies,Mid-Value,Jul 2021,110,9,0,60
Consumer,South,Other Miscellaneous 6,Low-Value,Jul 2021,1,3,0,59
Corporate,South,Other Miscellaneous 3,Low-Value,Jul 2021,20,2,0,61
Consumer,Central,Art,Low-Value,Jul 2022,52,18,0,61
Corporate,West,Copiers,High-Value,Jan 2021,151,19,0,62
Consumer,East,Other Miscellaneous 2,Low-Value,Jan 2022,18,6,0,60
Consumer,South,Other Miscellaneous 4,Low-Value,Jan 2021,9,9,0,63
Corporate,Central,Accessories,High-Value,Jan 2020,162,26,0,61
Corporate,South,Paper,Mid-Value,Jan 2020,105,10,0,58
Corporate,West,Appliances,High-Value,Jul 2022,116,9,0,61
Consumer,West,Accessories,High-Value,Jul 2021,145,17,5,61
Consumer,West,Appliances,High-Value,Jul 2021,111,15,0,58
Corporate,East,Other Miscellaneous 1,Low-Value,Jul 2022,17,2,0,58
Consumer,Central,Furnishings,High-Value,Jan 2022,101,15,5,61
Home Office,South,Employees (Office Supplies),Low-Value,Jul 2021,52,3,0,62
Consumer,South,Other Miscellaneous 3,Low-Value,Jan 2021,1,7,5,61
Consumer,Central,Art,Low-Value,Jan 2022,71,4,0,60
Consumer,Central,Art,Low-Value,Jan 2021,96,27,0,62
Consumer,Central,Accessories,High-Value,Jan 2021,143,15,10,59
Consumer,Central,Business Machines,High-Value,Jan 2021,192,18,0,64
Home Office,Central,Business Machines,High-Value,Jan 2022,165,20,0,58
Corporate,Central,Furnishings,High-Value,Jul 2021,122,21,0,60
Home Office,Central,Accessories,High-Value,Jan 2022,146,20,0,59
Consumer,West,Supplies,Mid-Value,Jul 2021,91,12,0,60
Consumer,West,Other Miscellaneous 3,Low-Value,Jul 2021,18,1,0,61
Consumer,South,Other Miscellaneous 4,Low-Value,Jan 2021,1,8,0,60
Consumer,West,Accessories,High-Value,Jan 2021,145,15,0,60
Corporate,East,Copiers,High-Value,Jul 2020,160,14,5,61
Home Office,East,Fasteners,Low-Value,Jan 2021,43,1,0,65
Home Office,Central,Business Machines,High-Value,Jan 2022,192,20,0,59
Consumer,East,Business Machines,High-Value,Jan 2022,191,23,0,62
Consumer,South,Appliances,High-Value,Jul 2021,116,8,0,57
Consumer,South,Copiers,High-Value,Jul 2022,148,17,0,64
Consumer,West,Appliances,High-Value,Jan 2022,89,4,5,60
Corporate,South,Accessories,High-Value,Jan 2022,163,20,0,59
Corporate,Central,Business Machines,High-Value,Jan 2022,168,28,10,60
Consumer,South,Employees (Office Supplies),Low-Value,Jul 2022,9,9,0,61
Home Office,East,Other Miscellaneous 5,Low-Value,Jul 2021,1,1,0,63
Consumer,East,Other Miscellaneous 1,Low-Value,Jan 2021,29,2,0,60
